ноль,0
один,1
два,2
три,3
четыре,4
пять,5
шесть,6
семь,7
восемь,8
девять,9
десять,10
одиннадцать,11
двенадцать,12
тринадцать,13
четырнадцать,14
пятнадцать,15
шестнадцать,16
семнадцать,17
восемнадцать,18
девятнадцать,19
двадцать,20
тридцать,30
сорок,40
пятьдесят,50
шестьдесят,60
семьдесят,70
восемьдесят,80
девяноста,90
сто,100
девяносто,90
двести,200
триста,300
четыреста,400
пятьсот,500
шестьсот,600
семьсот,700
восемьсот,800
девятьсот,900
тысяч,1000
тысяча,1000
две тысячи,2000
три тысячи,3000
четыре тысячи,4000
пять тысяч,5000
шесть тысяч,6000
семь тысяч,7000
восемь тысяч,8000
девять тысяч,9000
миллион,1000000
миллиард,1000000000
триллион,1000000000000
целых,.
целая,.
плюс,+
минус,-
умножить,*
поделить,/
делить,/
в степени,)**
скобка открывается, (
скобка закрывается, )